tree_species,P07,P16,P17,P18,P10,P02,P06,P14,P25,P26,P28,P03,P08,P12,P15,P19,P20,P24,P27,P04,P09,P05,P11,P21,P01,P13,P22,P23
Acronychia_pedunculata,0,0,0,17,0,0,0,80,20,2,0,0,9,1,7,0,3,2,10,22,0,0,1,0,1,3,0,0
Aporosa_octandra,0,0,7,89,0,42,0,0,30,19,0,17,45,24,10,0,26,5,4,27,0,28,50,0,7,7,0,2
Archidendron_lucidum,0,3,6,0,0,1,3,0,0,1,2,3,0,1,0,2,3,0,0,3,1,0,5,0,0,0,0,0
Ardisia_quinquegona,0,2,0,0,0,1,0,0,8,9,0,0,13,2,0,0,0,2,1,0,0,5,1,0,19,0,10,0
Camellia_caudata,0,0,0,0,0,0,24,0,0,0,0,0,0,0,4,14,0,0,3,0,24,0,0,3,0,0,0,0
Choerospondias_axillaris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,3
Cryptocarya_chinensis,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,85,4,0,0,0,0,0,34,60,144,140
Daphniphyllum_calycinum,2,1,2,6,0,4,0,0,17,13,5,1,3,0,0,0,4,2,0,2,0,4,15,1,0,0,0,0
Desmos_chinensis,0,0,0,0,0,4,0,3,5,1,0,15,5,3,8,0,3,1,0,34,0,2,2,0,1,2,1,0
Diospyros_morrisiana,0,0,32,9,0,2,0,0,36,14,3,2,5,4,4,2,1,1,8,3,3,15,9,1,0,1,0,0
Diplospora_dubia,0,1,0,0,0,0,0,23,2,1,89,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
Elaeocarpus_chinensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,3
Elaeocarpus_dubius,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,10,0,0,0,0,1,0,2,5,6,2
Eurya_chinensis,22,0,0,0,0,0,0,0,0,0,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Eurya_macartneyi,0,0,0,0,0,0,0,10,0,0,1,0,1,0,18,21,0,0,71,0,0,0,0,24,0,0,0,0
Eurya_nitida,0,0,0,2,0,0,8,2,5,0,0,0,0,1,20,37,0,1,0,0,3,0,0,1,0,0,0,0
Ficus_fistulosa,0,9,0,0,3,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1,1,0,0,3,0,0
Garcinia_multiflora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1,0,0,0,0,0,0,0,0,0
Garcinia_oblongifolia,0,0,1,3,0,0,0,19,5,1,0,1,18,1,25,3,6,1,8,4,0,4,3,0,12,2,9,0
Gordonia_axillaris,22,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Homalium_cochinchinense,0,0,0,0,0,0,0,13,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,1,0
Ilex_asprella,6,0,0,15,3,8,0,2,62,19,19,12,1,2,0,0,0,0,0,1,0,3,7,0,0,1,0,0
Ilex_pubescens,0,1,1,18,0,0,1,12,2,2,0,0,0,0,13,0,0,2,2,0,5,0,0,2,0,1,0,0
Ilex_viridis,0,0,0,0,1,0,10,3,0,0,0,0,0,0,3,10,0,0,0,0,44,0,0,4,0,0,0,0
Itea_chinensis,0,0,0,0,7,0,2,43,0,1,8,0,0,0,11,11,0,10,11,2,2,1,0,0,0,0,0,0
Lasianthus_chinensis,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,151,0,0,0
